method,original_slope,original_p_value,slope_reduction,final_slope,final_p_value,site_id,feature
Linear Regression,-0.1205486152418027,1.1339502629907567e-06,0.9999999999999998,-2.072006228067654e-17,0.9999999999999993,471080-99999,mean_temp
Linear Regression,-0.10966764526700516,8.515102399716069e-07,0.9999999999999998,-2.072006228067654e-17,0.9999999999999992,471100-99999,mean_temp
Linear Regression,-0.10273860569117929,2.2811287968785021e-07,0.9999999999999998,2.072006228067654e-17,0.9999999999999991,471420-99999,mean_temp
Linear Regression,-0.05101343248671069,0.0006462402196184525,1.0,-2.072006228067654e-18,0.9999999999999999,476710-99999,mean_temp
Linear Regression,-0.026190030072548616,0.01778948028305853,0.9999999999999998,6.216018684202962e-18,0.9999999999999996,478080-99999,mean_temp
Linear Regression,0.08412721512271729,1.2009969792752323e-10,1.0,2.072006228067654e-18,0.9999999999999998,479300-99999,mean_temp
Polynomial (2nd order),0.07878774867461344,3.514266873435116e-09,1.0,4.144012456135308e-18,0.9999999999999997,479810-99999,mean_temp
None (no significant trend),0.010163795801654083,0.2396999555056688,0.0,0.010163795801654083,0.2396999555056688,722265-13821,mean_temp
None (no significant trend),-0.0005483862225925728,0.955506444416232,0.0,-0.0005483862225925728,0.955506444416232,722860-23119,mean_temp
None (no significant trend),-0.014779343196217631,0.18022886669221533,0.0,-0.014779343196217631,0.18022886669221533,724050-13743,mean_temp
Linear Regression,0.20985641481965311,2.3427237989933257e-09,0.9999999999999999,-1.4504043596473577e-17,0.9999999999999996,761600-99999,mean_temp
Linear Regression,0.1632819027204203,0.00015160516023540879,0.9999999999999998,-4.351213078942073e-17,0.9999999999999991,763420-99999,mean_temp
Linear Regression,0.12486528170964478,0.01698973729435641,0.9999999999999998,-3.3152099649082466e-17,0.9999999999999996,763820-99999,mean_temp
Linear Regression,0.18656574437394896,4.3209899570907803e-07,0.9999999999999999,-2.4864074736811848e-17,0.9999999999999994,764990-99999,mean_temp
Linear Regression,0.1432802626823277,4.650194623086339e-17,0.9999999999999998,-2.9008087192947154e-17,0.9999999999999982,843900-99999,mean_temp
Linear Regression,-0.07945571528069133,7.973843733118007e-13,1.0,-2.072006228067654e-18,0.9999999999999998,847520-99999,mean_temp
