site_id,station_name,country,lat,lon,years_evaluated,anomaly_interpretation,accuracy,precision,recall,f1_score,tn,fp,fn,tp,confusion_matrix
763420-99999,MONCLOVA INTL,MX,26.956,-101.47,61,State 1 = Anomaly,0.5081967213114754,0.40425531914893614,0.9047619047619048,0.5588235294117647,12,28,2,19,"[[12, 28], [2, 19]]"
476710-99999,TOKYO INTL,JA,35.552,139.78,61,State 1 = Anomaly,0.4918032786885246,0.3958333333333333,0.9047619047619048,0.5507246376811594,11,29,2,19,"[[11, 29], [2, 19]]"
724050-13743,RONALD REAGAN WASHINGTON NATL AP,US,38.847,-77.035,61,State 1 = Anomaly,0.5409836065573771,0.4146341463414634,0.8095238095238095,0.5483870967741935,16,24,4,17,"[[16, 24], [4, 17]]"
847520-99999,RODRIGUEZ BALLON,PE,-16.341,-71.583,61,State 1 = Anomaly,0.45901639344262296,0.38,0.9047619047619048,0.5352112676056338,9,31,2,19,"[[9, 31], [2, 19]]"
911820-22521,HONOLULU INTERNATIONAL AIRPORT,US,21.324,-157.929,61,State 1 = Anomaly,0.3442622950819672,0.3442622950819672,1.0,0.5121951219512195,0,40,0,21,"[[0, 40], [0, 21]]"
471420-99999,DAEGU AB,KS,35.894,128.659,61,State 1 = Anomaly,0.639344262295082,0.4782608695652174,0.5238095238095238,0.5,28,12,10,11,"[[28, 12], [10, 11]]"
478080-99999,FUKUOKA,JA,33.586,130.451,61,State 1 = Anomaly,0.5081967213114754,0.38461538461538464,0.7142857142857143,0.5,16,24,6,15,"[[16, 24], [6, 15]]"
843900-99999,CAPITAN MONTES,PE,-4.577,-81.254,61,State 1 = Anomaly,0.32786885245901637,0.3333333333333333,0.9523809523809523,0.49382716049382713,0,40,1,20,"[[0, 40], [1, 20]]"
722860-23119,MARCH AIR RESERVE BASE,US,33.9,-117.25,61,State 1 = Anomaly,0.5901639344262295,0.42857142857142855,0.5714285714285714,0.4897959183673469,24,16,9,12,"[[24, 16], [9, 12]]"
479300-99999,NAHA,JA,26.196,127.646,61,State 1 = Anomaly,0.4918032786885246,0.3684210526315789,0.6666666666666666,0.4745762711864407,16,24,7,14,"[[16, 24], [7, 14]]"
471080-99999,SEOUL CITY,KS,37.567,126.967,61,State 0 = Anomaly,0.6229508196721312,0.45,0.42857142857142855,0.43902439024390244,29,11,12,9,"[[29, 11], [12, 9]]"
764990-99999,SOTO LA MARINA   TAMPS.,MX,23.767,-98.2,61,State 1 = Anomaly,0.4918032786885246,0.35294117647058826,0.5714285714285714,0.43636363636363634,18,22,9,12,"[[18, 22], [9, 12]]"
722265-13821,MAXWELL AFB AIRPORT,US,32.383,-86.35,61,State 1 = Anomaly,0.4426229508196721,0.3333333333333333,0.6190476190476191,0.43333333333333335,14,26,8,13,"[[14, 26], [8, 13]]"
763820-99999,TORREON INTL,MX,25.568,-103.411,61,State 1 = Anomaly,0.39344262295081966,0.3181818181818182,0.6666666666666666,0.4307692307692308,10,30,7,14,"[[10, 30], [7, 14]]"
479810-99999,IWOTO,JA,24.784,141.323,61,State 0 = Anomaly,0.5573770491803278,0.38461538461538464,0.47619047619047616,0.425531914893617,24,16,11,10,"[[24, 16], [11, 10]]"
946370-99999,KALGOORLIE BOULDER,AS,-30.789,121.462,61,State 0 = Anomaly,0.4098360655737705,0.2857142857142857,0.47619047619047616,0.35714285714285715,15,25,11,10,"[[15, 25], [11, 10]]"
761600-99999,GENERAL IGNACIO P GARCIA INTL,MX,29.096,-111.048,61,State 0 = Anomaly,0.4918032786885246,0.3076923076923077,0.38095238095238093,0.3404255319148936,22,18,13,8,"[[22, 18], [13, 8]]"
942030-99999,BROOME INTL,AS,-17.945,122.232,61,State 0 = Anomaly,0.6065573770491803,0.4,0.2857142857142857,0.3333333333333333,31,9,15,6,"[[31, 9], [15, 6]]"
943740-99999,ROCKHAMPTON,AS,-23.382,150.475,61,State 0 = Anomaly,0.5573770491803278,0.3333333333333333,0.2857142857142857,0.3076923076923077,28,12,15,6,"[[28, 12], [15, 6]]"
471100-99999,GIMPO,KS,37.558,126.791,61,State 0 = Anomaly,0.5737704918032787,0.3333333333333333,0.23809523809523808,0.2777777777777778,30,10,16,5,"[[30, 10], [16, 5]]"
946530-99999,CEDUNA AMO,AS,-32.133,133.7,61,State 0 = Anomaly,0.47540983606557374,0.2608695652173913,0.2857142857142857,0.2727272727272727,23,17,15,6,"[[23, 17], [15, 6]]"
