site_id,t,year,state
471080-99999,0,1933,1
471080-99999,1,1934,1
471080-99999,2,1935,1
471080-99999,3,1936,1
471080-99999,4,1937,1
471080-99999,5,1938,1
471080-99999,6,1939,1
471080-99999,7,1940,1
471080-99999,8,1941,1
471080-99999,9,1942,1
471080-99999,10,1943,1
471080-99999,11,1944,1
471080-99999,12,1945,1
471080-99999,13,1946,1
471080-99999,14,1947,1
471080-99999,15,1948,1
471080-99999,16,1949,1
471080-99999,17,1950,0
471080-99999,18,1951,0
471080-99999,19,1952,0
471080-99999,20,1953,0
471080-99999,21,1954,0
471080-99999,22,1955,0
471080-99999,23,1956,0
471080-99999,24,1957,0
471080-99999,25,1958,0
471080-99999,26,1959,0
471080-99999,27,1960,0
471080-99999,28,1961,0
471080-99999,29,1962,0
471080-99999,30,1963,0
471080-99999,31,1964,0
471080-99999,32,1965,0
471080-99999,33,1966,0
471080-99999,34,1967,0
471080-99999,35,1968,0
471080-99999,36,1969,0
471080-99999,37,1970,0
471080-99999,38,1971,1
471080-99999,39,1972,1
471080-99999,40,1973,0
471080-99999,41,1974,0
471080-99999,42,1975,0
471080-99999,43,1976,0
471080-99999,44,1977,0
471080-99999,45,1978,0
471080-99999,46,1979,0
471080-99999,47,1980,0
471080-99999,48,1981,0
471080-99999,49,1982,0
471080-99999,50,1983,0
471080-99999,51,1984,0
471080-99999,52,1985,0
471080-99999,53,1986,0
471080-99999,54,1987,0
471080-99999,55,1988,0
471080-99999,56,1989,1
471080-99999,57,1990,1
471080-99999,58,1991,0
471080-99999,59,1992,1
471080-99999,60,1993,0
471080-99999,61,1994,1
471080-99999,62,1995,0
471080-99999,63,1996,0
471080-99999,64,1997,1
471080-99999,65,1998,1
471080-99999,66,1999,1
471080-99999,67,2000,1
471080-99999,68,2001,1
471080-99999,69,2002,1
471080-99999,70,2003,1
471080-99999,71,2004,1
471080-99999,72,2005,1
471080-99999,73,2006,1
471080-99999,74,2007,1
471080-99999,75,2008,1
471080-99999,76,2009,1
471080-99999,77,2010,1
471080-99999,78,2011,1
471080-99999,79,2012,1
471080-99999,80,2013,1
471080-99999,81,2014,1
471080-99999,82,2015,1
471080-99999,83,2016,1
471080-99999,84,2017,1
471080-99999,85,2018,1
471080-99999,86,2019,0
471100-99999,0,1933,1
471100-99999,1,1934,1
471100-99999,2,1935,1
471100-99999,3,1936,1
471100-99999,4,1937,1
471100-99999,5,1938,1
471100-99999,6,1939,1
471100-99999,7,1940,1
471100-99999,8,1941,1
471100-99999,9,1942,1
471100-99999,10,1943,1
471100-99999,11,1944,1
471100-99999,12,1945,0
471100-99999,13,1946,0
471100-99999,14,1947,0
471100-99999,15,1948,0
471100-99999,16,1949,0
471100-99999,17,1950,0
471100-99999,18,1951,0
471100-99999,19,1952,0
471100-99999,20,1953,0
471100-99999,21,1954,0
471100-99999,22,1955,0
471100-99999,23,1956,0
471100-99999,24,1957,0
471100-99999,25,1958,0
471100-99999,26,1959,0
471100-99999,27,1960,0
471100-99999,28,1961,0
471100-99999,29,1962,0
471100-99999,30,1963,0
471100-99999,31,1964,0
471100-99999,32,1965,0
471100-99999,33,1966,0
471100-99999,34,1967,0
471100-99999,35,1968,0
471100-99999,36,1969,0
471100-99999,37,1970,0
471100-99999,38,1971,0
471100-99999,39,1972,0
471100-99999,40,1973,0
471100-99999,41,1974,0
471100-99999,42,1975,0
471100-99999,43,1976,0
471100-99999,44,1977,0
