year,enso_type,is_el_nino,is_la_nina,enso_anomaly
1950,Normal,0,0,0
1951,El_Nino,1,0,1
1952,El_Nino,1,0,1
1953,El_Nino,1,0,1
1954,La_Nina,0,1,1
1955,La_Nina,0,1,1
1956,La_Nina,0,1,1
1957,El_Nino,1,0,1
1958,El_Nino,1,0,1
1959,Normal,0,0,0
1960,Normal,0,0,0
1961,Normal,0,0,0
1962,Normal,0,0,0
1963,El_Nino,1,0,1
1964,La_Nina,0,1,1
1965,El_Nino,1,0,1
1966,Normal,0,0,0
1967,Normal,0,0,0
1968,El_Nino,1,0,1
1969,El_Nino,1,0,1
1970,La_Nina,0,1,1
1971,La_Nina,0,1,1
1972,El_Nino,1,0,1
1973,Normal,0,0,0
1974,La_Nina,0,1,1
1975,La_Nina,0,1,1
1976,El_Nino,1,0,1
1977,El_Nino,1,0,1
1978,Normal,0,0,0
1979,El_Nino,1,0,1
1980,Normal,0,0,0
1981,Normal,0,0,0
1982,El_Nino,1,0,1
1983,La_Nina,0,1,1
1984,La_Nina,0,1,1
1985,La_Nina,0,1,1
1986,El_Nino,1,0,1
1987,El_Nino,1,0,1
1988,La_Nina,0,1,1
1989,Normal,0,0,0
1990,Normal,0,0,0
1991,El_Nino,1,0,1
1992,Normal,0,0,0
1993,Normal,0,0,0
1994,El_Nino,1,0,1
1995,La_Nina,0,1,1
1996,Normal,0,0,0
1997,El_Nino,1,0,1
1998,La_Nina,0,1,1
1999,La_Nina,0,1,1
2000,La_Nina,0,1,1
