year,enso_type,intensity,is_el_nino,is_la_nina,enso_anomaly
1950,Normal,Normal,0,0,0
1951,La_Nina,Weak,0,0,0
1952,La_Nina,Weak,0,0,0
1953,El_Nino,Weak,0,0,0
1954,El_Nino,Weak,0,0,0
1955,La_Nina,Weak,0,0,0
1956,La_Nina,Weak,0,0,0
1957,El_Nino,Strong,1,0,1
1958,El_Nino,Strong,1,0,1
1959,El_Nino,Weak,0,0,0
1960,Normal,Normal,0,0,0
1961,Normal,Normal,0,0,0
1962,Normal,Normal,0,0,0
1963,El_Nino,Weak,0,0,0
1964,La_Nina,Weak,0,0,0
1965,El_Nino,Moderate,1,0,1
1966,El_Nino,Moderate,1,0,1
1967,Normal,Normal,0,0,0
1968,El_Nino,Weak,0,0,0
1969,El_Nino,Weak,0,0,0
1970,La_Nina,Moderate,0,1,1
1971,La_Nina,Moderate,0,1,1
1972,El_Nino,Moderate,1,0,1
1973,El_Nino,Moderate,1,0,1
1974,La_Nina,Weak,0,0,0
1975,La_Nina,Weak,0,0,0
1976,La_Nina,Weak,0,0,0
1977,El_Nino,Weak,0,0,0
1978,El_Nino,Weak,0,0,0
1979,El_Nino,Weak,0,0,0
1980,El_Nino,Weak,0,0,0
1981,Normal,Normal,0,0,0
1982,El_Nino,Very_Strong,1,0,1
1983,El_Nino,Very_Strong,1,0,1
1984,La_Nina,Weak,0,0,0
1985,La_Nina,Weak,0,0,0
1986,El_Nino,Weak,0,0,0
1987,El_Nino,Moderate,1,0,1
1988,El_Nino,Moderate,1,0,1
1989,La_Nina,Strong,0,1,1
1990,Normal,Normal,0,0,0
1991,El_Nino,Moderate,1,0,1
1992,El_Nino,Moderate,1,0,1
1993,Normal,Normal,0,0,0
1994,El_Nino,Weak,0,0,0
1995,El_Nino,Weak,0,0,0
1996,La_Nina,Moderate,0,1,1
1997,El_Nino,Very_Strong,1,0,1
1998,El_Nino,Very_Strong,1,0,1
1999,La_Nina,Strong,0,1,1
2000,La_Nina,Strong,0,1,1
2001,La_Nina,Weak,0,0,0
2002,El_Nino,Weak,0,0,0
2003,El_Nino,Weak,0,0,0
2004,El_Nino,Weak,0,0,0
2005,El_Nino,Weak,0,0,0
2006,La_Nina,Weak,0,0,0
2007,El_Nino,Weak,0,0,0
2008,La_Nina,Strong,0,1,1
2009,El_Nino,Weak,0,0,0
2010,La_Nina,Weak,0,0,0
