site_id,name,country,lat,lon,n_years,mapping,accuracy,precision,recall,f1,enso_years_in_data,enso_correct,el_nino_years,el_nino_correct,la_nina_years,la_nina_correct,confusion_matrix
471080-99999,SEOUL CITY,KS,37.567,126.967,41,State 1 = Anomaly,0.36585365853658536,1.0,0.07142857142857142,0.13333333333333333,28,2,13,1,15,1,"[[13  0]
 [26  2]]"
942030-99999,BROOME INTL,AS,-17.945,122.232,41,State 0 = Anomaly,0.34146341463414637,1.0,0.03571428571428571,0.06896551724137931,28,1,13,1,15,0,"[[13  0]
 [27  1]]"
477590-99999,KYOTO,JA,35.017,135.733,41,State 1 = Anomaly,0.36585365853658536,1.0,0.07142857142857142,0.13333333333333333,28,2,13,1,15,1,"[[13  0]
 [26  2]]"
477710-99999,OSAKA INTL,JA,34.786,135.438,41,State 1 = Anomaly,0.36585365853658536,1.0,0.07142857142857142,0.13333333333333333,28,2,13,1,15,1,"[[13  0]
 [26  2]]"
722265-13821,MAXWELL AFB AIRPORT,US,32.383,-86.35,41,State 1 = Anomaly,0.36585365853658536,1.0,0.07142857142857142,0.13333333333333333,28,2,13,1,15,1,"[[13  0]
 [26  2]]"
760610-99999,PUERTO PENASCO  SON.,MX,31.3,-113.55,40,State 1 = Anomaly,0.45,0.875,0.25,0.3888888888888889,28,7,13,4,15,3,"[[11  1]
 [21  7]]"
846910-99999,PISCO INTL,PE,-13.745,-76.22,41,State 1 = Anomaly,0.5609756097560976,0.8571428571428571,0.42857142857142855,0.5714285714285714,28,12,13,4,15,8,"[[11  2]
 [16 12]]"
726810-24131,BOISE AIR TERMINAL/GOWEN FD AIRPORT,US,43.567,-116.241,41,State 1 = Anomaly,0.43902439024390244,0.7777777777777778,0.25,0.3783783783783784,28,7,13,4,15,3,"[[11  2]
 [21  7]]"
726815-24106,MOUNTAIN HOME AFB AIRPORT,US,43.05,-115.867,41,State 0 = Anomaly,0.43902439024390244,0.7272727272727273,0.2857142857142857,0.41025641025641024,28,8,13,4,15,4,"[[10  3]
 [20  8]]"
843900-99999,CAPITAN MONTES,PE,-4.577,-81.254,41,State 0 = Anomaly,0.7073170731707317,0.7222222222222222,0.9285714285714286,0.8125,28,26,13,13,15,13,"[[ 3 10]
 [ 2 26]]"
471100-99999,GIMPO,KS,37.558,126.791,41,State 1 = Anomaly,0.6097560975609756,0.7142857142857143,0.7142857142857143,0.7142857142857143,28,20,13,10,15,10,"[[ 5  8]
 [ 8 20]]"
761130-99999,ALTAR  SON.,MX,30.717,-111.833,41,State 1 = Anomaly,0.4634146341463415,0.7142857142857143,0.35714285714285715,0.47619047619047616,28,10,13,4,15,6,"[[ 9  4]
 [18 10]]"
722860-23119,MARCH AIR RESERVE BASE,US,33.9,-117.25,41,State 0 = Anomaly,0.5609756097560976,0.7083333333333334,0.6071428571428571,0.6538461538461539,28,17,13,7,15,10,"[[ 6  7]
 [11 17]]"
478030-99999,ASHIYA,JA,33.883,130.653,41,State 1 = Anomaly,0.4878048780487805,0.7058823529411765,0.42857142857142855,0.5333333333333333,28,12,13,5,15,7,"[[ 8  5]
 [16 12]]"
474250-99999,NEW CHITOSE,JA,42.775,141.692,41,State 1 = Anomaly,0.5853658536585366,0.7037037037037037,0.6785714285714286,0.6909090909090909,28,19,13,9,15,10,"[[ 5  8]
 [ 9 19]]"
847520-99999,RODRIGUEZ BALLON,PE,-16.341,-71.583,41,State 0 = Anomaly,0.5853658536585366,0.7037037037037037,0.6785714285714286,0.6909090909090909,28,19,13,10,15,9,"[[ 5  8]
 [ 9 19]]"
844520-99999,CAPT JOSE A  QUINONES GONZALES INTL,PE,-6.787,-79.828,41,State 0 = Anomaly,0.6829268292682927,0.7027027027027027,0.9285714285714286,0.8,28,26,13,11,15,15,"[[ 2 11]
 [ 2 26]]"
761220-99999,NUEVA CASAS GRANDES   CHIH.,MX,30.367,-107.95,41,State 0 = Anomaly,0.6585365853658537,0.6944444444444444,0.8928571428571429,0.78125,28,25,13,11,15,14,"[[ 2 11]
 [ 3 25]]"
471420-99999,DAEGU AB,KS,35.894,128.659,41,State 0 = Anomaly,0.6341463414634146,0.6857142857142857,0.8571428571428571,0.7619047619047619,28,24,13,11,15,13,"[[ 2 11]
 [ 4 24]]"
943350-99999,CLONCURRY AIRPORT,AS,-20.667,140.5,41,State 1 = Anomaly,0.6585365853658537,0.6842105263157895,0.9285714285714286,0.7878787878787878,28,26,13,12,15,14,"[[ 1 12]
 [ 2 26]]"
943740-99999,ROCKHAMPTON,AS,-23.382,150.475,41,State 0 = Anomaly,0.6829268292682927,0.6829268292682927,1.0,0.8115942028985508,28,28,13,13,15,15,"[[ 0 13]
 [ 0 28]]"
944760-99999,OODNADATTA AIRPORT,AS,-27.55,135.45,41,State 0 = Anomaly,0.6829268292682927,0.6829268292682927,1.0,0.8115942028985508,28,28,13,13,15,15,"[[ 0 13]
 [ 0 28]]"
760500-99999,ENSENADA BC,MX,31.667,-116.567,13,State 0 = Anomaly,0.6153846153846154,0.6666666666666666,0.75,0.7058823529411765,8,6,4,3,4,3,"[[2 3]
 [2 6]]"
