site_id	K	logL
471080-99999	2	-178.6753
471100-99999	2	-240.7730
471420-99999	2	-174.7952
476710-99999	2	-140.8003
478080-99999	2	-102.7923
479300-99999	2	-158.6184
479810-99999	2	-102.8024
722265-13821	2	-189.4083
722860-23119	2	-142.5301
724050-13743	2	-233.5891
761600-99999	2	-244.5406
763420-99999	2	-313.0755
763820-99999	2	-332.9468
764990-99999	2	-274.7136
843900-99999	2	-188.4430
847520-99999	2	-108.3248
911820-22521	2	-109.1468
942030-99999	2	-198.3600
943740-99999	2	-229.0217
946370-99999	2	-131.7016
946530-99999	2	-191.0118
