site_id,station_name,country,lat,lon,years_evaluated,anomaly_interpretation,accuracy,precision,recall,f1_score,tn,fp,fn,tp,confusion_matrix
471080-99999,SEOUL CITY,KS,37.567,126.967,51,State 1 = Anomaly,0.6862745098039216,0.6,0.6,0.6,23,8,8,12,"[[23, 8], [8, 12]]"
476710-99999,TOKYO INTL,JA,35.552,139.78,51,State 1 = Anomaly,0.6078431372549019,0.5,0.75,0.6,16,15,5,15,"[[16, 15], [5, 15]]"
478080-99999,FUKUOKA,JA,33.586,130.451,51,State 1 = Anomaly,0.4117647058823529,0.4,1.0,0.5714285714285714,1,30,0,20,"[[1, 30], [0, 20]]"
911820-22521,HONOLULU INTERNATIONAL AIRPORT,US,21.324,-157.929,51,State 1 = Anomaly,0.39215686274509803,0.39215686274509803,1.0,0.5633802816901409,0,31,0,20,"[[0, 31], [0, 20]]"
942030-99999,BROOME INTL,AS,-17.945,122.232,51,State 1 = Anomaly,0.39215686274509803,0.39215686274509803,1.0,0.5633802816901409,0,31,0,20,"[[0, 31], [0, 20]]"
946530-99999,CEDUNA AMO,AS,-32.133,133.7,51,State 1 = Anomaly,0.39215686274509803,0.39215686274509803,1.0,0.5633802816901409,0,31,0,20,"[[0, 31], [0, 20]]"
722265-13821,MAXWELL AFB AIRPORT,US,32.383,-86.35,51,State 1 = Anomaly,0.47058823529411764,0.40540540540540543,0.75,0.5263157894736842,9,22,5,15,"[[9, 22], [5, 15]]"
479300-99999,NAHA,JA,26.196,127.646,51,State 1 = Anomaly,0.47058823529411764,0.40540540540540543,0.75,0.5263157894736842,9,22,5,15,"[[9, 22], [5, 15]]"
946370-99999,KALGOORLIE BOULDER,AS,-30.789,121.462,51,State 1 = Anomaly,0.4117647058823529,0.375,0.75,0.5,6,25,5,15,"[[6, 25], [5, 15]]"
724050-13743,RONALD REAGAN WASHINGTON NATL AP,US,38.847,-77.035,51,State 1 = Anomaly,0.37254901960784315,0.35714285714285715,0.75,0.4838709677419355,4,27,5,15,"[[4, 27], [5, 15]]"
761600-99999,GENERAL IGNACIO P GARCIA INTL,MX,29.096,-111.048,51,State 0 = Anomaly,0.49019607843137253,0.36363636363636365,0.4,0.38095238095238093,17,14,12,8,"[[17, 14], [12, 8]]"
722860-23119,MARCH AIR RESERVE BASE,US,33.9,-117.25,51,State 1 = Anomaly,0.3333333333333333,0.29411764705882354,0.5,0.37037037037037035,7,24,10,10,"[[7, 24], [10, 10]]"
763820-99999,TORREON INTL,MX,25.568,-103.411,51,State 0 = Anomaly,0.5686274509803921,0.42857142857142855,0.3,0.35294117647058826,23,8,14,6,"[[23, 8], [14, 6]]"
764990-99999,SOTO LA MARINA   TAMPS.,MX,23.767,-98.2,51,State 0 = Anomaly,0.5686274509803921,0.42857142857142855,0.3,0.35294117647058826,23,8,14,6,"[[23, 8], [14, 6]]"
843900-99999,CAPITAN MONTES,PE,-4.577,-81.254,51,State 0 = Anomaly,0.39215686274509803,0.2962962962962963,0.4,0.3404255319148936,12,19,12,8,"[[12, 19], [12, 8]]"
763420-99999,MONCLOVA INTL,MX,26.956,-101.47,51,State 0 = Anomaly,0.47058823529411764,0.3157894736842105,0.3,0.3076923076923077,18,13,14,6,"[[18, 13], [14, 6]]"
847520-99999,RODRIGUEZ BALLON,PE,-16.341,-71.583,51,State 0 = Anomaly,0.37254901960784315,0.2,0.2,0.2,15,16,16,4,"[[15, 16], [16, 4]]"
479810-99999,IWOTO,JA,24.784,141.323,51,State 0 = Anomaly,0.6078431372549019,0.5,0.1,0.16666666666666666,29,2,18,2,"[[29, 2], [18, 2]]"
943740-99999,ROCKHAMPTON,AS,-23.382,150.475,51,State 0 = Anomaly,0.6274509803921569,1.0,0.05,0.09523809523809523,31,0,19,1,"[[31, 0], [19, 1]]"
471100-99999,GIMPO,KS,37.558,126.791,51,State 0 = Anomaly,0.5882352941176471,0.0,0.0,0.0,30,1,20,0,"[[30, 1], [20, 0]]"
471420-99999,DAEGU AB,KS,35.894,128.659,51,State 0 = Anomaly,0.5490196078431373,0.0,0.0,0.0,28,3,20,0,"[[28, 3], [20, 0]]"
