Year,ENSO_Type,Ground_Truth,Total_Stations,Anomaly_Votes,Anomaly_Ratio,Ensemble_30pct,Ensemble_35pct,Ensemble_40pct,Ensemble_45pct,Ensemble_50pct,Ensemble_55pct,Ensemble_60pct,Match_30pct,Match_35pct,Match_40pct,Match_45pct,Match_50pct,Match_55pct,Match_60pct
1950,Normal,0,21,8,0.38095238095238093,1,1,0,0,0,0,0,0,0,1,1,1,1,1
1951,La_Nina,0,21,8,0.38095238095238093,1,1,0,0,0,0,0,0,0,1,1,1,1,1
1952,La_Nina,0,21,8,0.38095238095238093,1,1,0,0,0,0,0,0,0,1,1,1,1,1
1953,El_Nino,0,21,8,0.38095238095238093,1,1,0,0,0,0,0,0,0,1,1,1,1,1
1954,El_Nino,0,21,8,0.38095238095238093,1,1,0,0,0,0,0,0,0,1,1,1,1,1
1955,La_Nina,0,21,5,0.23809523809523808,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1956,La_Nina,0,21,5,0.23809523809523808,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1957,El_Nino,1,21,5,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,El_Nino,1,21,5,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,El_Nino,0,21,5,0.23809523809523808,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1960,Normal,0,21,5,0.23809523809523808,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1961,Normal,0,21,5,0.23809523809523808,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1962,Normal,0,21,5,0.23809523809523808,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1963,El_Nino,0,21,5,0.23809523809523808,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1964,La_Nina,0,21,5,0.23809523809523808,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1965,El_Nino,1,21,6,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,El_Nino,1,21,6,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,Normal,0,21,6,0.2857142857142857,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1968,El_Nino,0,21,6,0.2857142857142857,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1969,El_Nino,0,21,6,0.2857142857142857,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1970,La_Nina,1,21,5,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,La_Nina,1,21,5,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,El_Nino,1,21,5,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,El_Nino,1,21,5,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,La_Nina,0,21,5,0.23809523809523808,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1975,La_Nina,0,21,3,0.14285714285714285,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1976,La_Nina,0,21,3,0.14285714285714285,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1977,El_Nino,0,21,3,0.14285714285714285,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1978,El_Nino,0,21,3,0.14285714285714285,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1979,El_Nino,0,21,3,0.14285714285714285,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1980,El_Nino,0,21,3,0.14285714285714285,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1981,Normal,0,21,3,0.14285714285714285,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1982,El_Nino,1,21,3,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,El_Nino,1,21,3,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,La_Nina,0,21,3,0.14285714285714285,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1985,La_Nina,0,21,4,0.19047619047619047,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1986,El_Nino,0,21,4,0.19047619047619047,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1987,El_Nino,1,21,4,0.19047619047619047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,El_Nino,1,21,4,0.19047619047619047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,La_Nina,1,21,4,0.19047619047619047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Normal,0,21,7,0.3333333333333333,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1991,El_Nino,1,21,7,0.3333333333333333,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1992,El_Nino,1,21,7,0.3333333333333333,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1993,Normal,0,21,7,0.3333333333333333,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1994,El_Nino,0,21,7,0.3333333333333333,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1995,El_Nino,0,21,5,0.23809523809523808,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1996,La_Nina,1,21,5,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,El_Nino,1,21,5,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,El_Nino,1,21,5,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,La_Nina,1,21,5,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,La_Nina,1,21,5,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
