site_id,segment_id,start_idx,end_idx,start_date,end_date,length
471080-99999,0,0,4,1950-01-01,1954-01-01,5
471080-99999,1,5,9,1955-01-01,1959-01-01,5
471080-99999,2,10,14,1960-01-01,1964-01-01,5
471080-99999,3,15,19,1965-01-01,1969-01-01,5
471080-99999,4,20,24,1970-01-01,1974-01-01,5
471080-99999,5,25,29,1975-01-01,1979-01-01,5
471080-99999,6,30,34,1980-01-01,1984-01-01,5
471080-99999,7,35,39,1985-01-01,1989-01-01,5
471080-99999,8,40,44,1990-01-01,1994-01-01,5
471080-99999,9,45,50,1995-01-01,2000-01-01,6
471100-99999,0,0,4,1950-01-01,1954-01-01,5
471100-99999,1,5,9,1955-01-01,1959-01-01,5
471100-99999,2,10,14,1960-01-01,1964-01-01,5
471100-99999,3,15,19,1965-01-01,1969-01-01,5
471100-99999,4,20,24,1970-01-01,1974-01-01,5
471100-99999,5,25,29,1975-01-01,1979-01-01,5
471100-99999,6,30,34,1980-01-01,1984-01-01,5
471100-99999,7,35,39,1985-01-01,1989-01-01,5
471100-99999,8,40,50,1990-01-01,2000-01-01,11
471420-99999,0,0,4,1950-01-01,1954-01-01,5
471420-99999,1,5,9,1955-01-01,1959-01-01,5
471420-99999,2,10,14,1960-01-01,1964-01-01,5
471420-99999,3,15,19,1965-01-01,1969-01-01,5
471420-99999,4,20,24,1970-01-01,1974-01-01,5
471420-99999,5,25,29,1975-01-01,1979-01-01,5
471420-99999,6,30,34,1980-01-01,1984-01-01,5
471420-99999,7,35,39,1985-01-01,1989-01-01,5
471420-99999,8,40,44,1990-01-01,1994-01-01,5
471420-99999,9,45,50,1995-01-01,2000-01-01,6
476710-99999,0,0,4,1950-01-01,1954-01-01,5
476710-99999,1,5,9,1955-01-01,1959-01-01,5
476710-99999,2,10,14,1960-01-01,1964-01-01,5
476710-99999,3,15,19,1965-01-01,1969-01-01,5
476710-99999,4,20,24,1970-01-01,1974-01-01,5
476710-99999,5,25,29,1975-01-01,1979-01-01,5
476710-99999,6,30,34,1980-01-01,1984-01-01,5
476710-99999,7,35,39,1985-01-01,1989-01-01,5
476710-99999,8,40,44,1990-01-01,1994-01-01,5
476710-99999,9,45,50,1995-01-01,2000-01-01,6
478080-99999,0,0,4,1950-01-01,1954-01-01,5
478080-99999,1,5,9,1955-01-01,1959-01-01,5
478080-99999,2,10,14,1960-01-01,1964-01-01,5
478080-99999,3,15,19,1965-01-01,1969-01-01,5
478080-99999,4,20,24,1970-01-01,1974-01-01,5
478080-99999,5,25,29,1975-01-01,1979-01-01,5
478080-99999,6,30,34,1980-01-01,1984-01-01,5
478080-99999,7,35,39,1985-01-01,1989-01-01,5
478080-99999,8,40,44,1990-01-01,1994-01-01,5
478080-99999,9,45,50,1995-01-01,2000-01-01,6
479300-99999,0,0,4,1950-01-01,1954-01-01,5
479300-99999,1,5,9,1955-01-01,1959-01-01,5
479300-99999,2,10,14,1960-01-01,1964-01-01,5
479300-99999,3,15,19,1965-01-01,1969-01-01,5
