site_id,mean_temp,dew_point,max_temp,min_temp,sea_level_pressure,station_pressure,visibility,wind_speed,max_wind_speed,wind_gust,precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado,date
471080-99999,29,23,36,22,1022,1022,7,4,9,24,0,1,0,0,0,0,0,0,1950-01-01
471080-99999,60,53,69,52,1014,1013,7,5,13,24,0,1,0,0,0,0,0,0,1951-01-01
471080-99999,53,45,62,45,1017,1015,7,6,13,24,0,1,0,0,0,0,0,0,1952-01-01
471080-99999,54,45,63,46,1017,1016,7,6,13,24,0,1,0,0,0,0,0,0,1953-01-01
471080-99999,54,44,63,46,1016,1014,7,5,11,24,0,1,0,0,0,0,0,0,1954-01-01
471080-99999,54,44,63,45,1015,1014,7,6,12,24,0,1,0,0,0,0,0,0,1955-01-01
471080-99999,51,42,61,43,1016,1015,7,5,12,24,0,1,0,0,0,0,0,0,1956-01-01
471080-99999,52,42,62,44,1016,1015,7,5,11,24,0,1,0,0,0,0,0,0,1957-01-01
471080-99999,54,45,64,45,1016,1015,7,5,11,24,0,1,0,0,0,0,0,0,1958-01-01
471080-99999,55,47,64,47,1016,1015,6,5,12,24,0,1,0,0,0,0,0,0,1959-01-01
471080-99999,55,46,64,46,1016,1015,6,5,12,24,0,1,0,0,0,0,0,0,1960-01-01
471080-99999,55,47,64,47,1016,1015,7,4,11,24,0,1,0,0,0,0,0,0,1961-01-01
471080-99999,53,45,63,46,1015,1014,7,5,11,24,0,1,0,0,0,0,0,0,1962-01-01
471080-99999,53,45,62,45,1016,1014,6,5,10,24,0,1,0,0,0,0,0,0,1963-01-01
471080-99999,55,47,63,47,1017,1015,6,4,9,24,0,1,0,0,0,0,0,0,1964-01-01
471080-99999,53,44,63,45,1016,1015,6,5,10,24,0,1,0,0,0,0,0,0,1965-01-01
471080-99999,52,43,60,44,1017,1015,6,5,10,24,0,1,0,0,0,0,0,0,1966-01-01
471080-99999,54,45,63,46,1017,1016,6,4,10,24,0,1,0,0,0,0,0,0,1967-01-01
471080-99999,54,45,64,45,1025,1015,5,5,13,24,0,1,0,0,0,0,0,0,1968-01-01
471080-99999,52,44,61,44,1021,1015,6,6,13,24,0,1,0,0,0,0,0,0,1969-01-01
471080-99999,56,47,66,48,1017,1014,6,6,13,24,0,1,0,0,0,0,0,0,1970-01-01
471080-99999,55,46,65,48,1017,1014,7,6,12,24,0,1,0,0,0,0,0,0,1971-01-01
471080-99999,55,45,64,47,1016,1014,8,6,11,24,0,1,0,0,0,0,0,0,1972-01-01
471080-99999,54,44,62,46,1016,1015,10,5,10,24,0,1,0,0,0,0,0,0,1973-01-01
471080-99999,52,42,61,44,1016,1014,10,5,9,24,0,1,0,0,0,0,0,0,1974-01-01
471080-99999,55,43,64,47,1016,1014,10,4,8,24,0,1,0,0,0,0,0,0,1975-01-01
471080-99999,53,41,62,45,1016,1014,10,5,9,24,0,1,0,0,0,0,0,0,1976-01-01
471080-99999,54,43,63,46,1017,1013,9,5,8,24,0,1,0,0,0,0,0,0,1977-01-01
471080-99999,54,43,63,47,1016,1013,9,5,9,24,0,1,0,0,0,0,0,0,1978-01-01
471080-99999,55,44,63,47,1016,1013,10,5,9,24,0,1,0,0,0,0,0,0,1979-01-01
471080-99999,52,40,60,43,1016,1012,9,5,10,24,0,11,0,0,0,0,0,0,1980-01-01
471080-99999,52,41,61,44,1016,1012,8,5,10,24,0,33,0,0,0,0,0,0,1981-01-01
471080-99999,55,42,63,46,1016,1012,6,5,9,24,0,40,0,0,0,0,0,0,1982-01-01
471080-99999,54,42,63,46,1016,1011,7,5,9,24,0,25,0,0,0,0,0,0,1983-01-01
471080-99999,53,41,62,45,1017,1011,7,5,9,24,0,8,0,0,0,0,0,0,1984-01-01
471080-99999,53,43,61,45,1017,1010,6,5,9,24,0,3,0,0,0,0,0,0,1985-01-01
471080-99999,52,42,60,44,1017,1010,7,5,9,24,0,3,0,0,0,0,0,0,1986-01-01
471080-99999,54,42,62,45,1017,1010,6,5,9,24,0,3,0,0,0,0,0,0,1987-01-01
471080-99999,54,40,62,45,1017,1009,8,5,10,24,0,3,0,0,0,0,0,0,1988-01-01
471080-99999,55,43,64,47,1017,1009,7,5,9,24,0,3,0,0,0,0,0,0,1989-01-01
471080-99999,55,45,63,47,1017,1009,6,5,8,24,0,2,0,0,0,0,0,0,1990-01-01
471080-99999,54,42,63,46,1017,1009,6,5,9,24,0,2,0,0,0,0,0,0,1991-01-01
471080-99999,54,43,63,47,1017,1006,7,4,8,24,0,2,0,0,0,0,0,0,1992-01-01
