site_id,station_name,country,lat,lon,years_evaluated,anomaly_interpretation,accuracy,precision,recall,f1_score,tn,fp,fn,tp,confusion_matrix
476710-99999,TOKYO INTL,JA,35.552,139.78,61,State 1 = Anomaly,0.6557377049180327,0.7674418604651163,0.75,0.7586206896551724,7,10,11,33,"[[7, 10], [11, 33]]"
946370-99999,KALGOORLIE BOULDER,AS,-30.789,121.462,61,State 1 = Anomaly,0.639344262295082,0.75,0.75,0.75,6,11,11,33,"[[6, 11], [11, 33]]"
942030-99999,BROOME INTL,AS,-17.945,122.232,61,State 1 = Anomaly,0.639344262295082,0.7619047619047619,0.7272727272727273,0.7441860465116279,7,10,12,32,"[[7, 10], [12, 32]]"
763420-99999,MONCLOVA INTL,MX,26.956,-101.47,61,State 1 = Anomaly,0.6065573770491803,0.7380952380952381,0.7045454545454546,0.7209302325581395,6,11,13,31,"[[6, 11], [13, 31]]"
479810-99999,IWOTO,JA,24.784,141.323,61,State 1 = Anomaly,0.6065573770491803,0.75,0.6818181818181818,0.7142857142857143,7,10,14,30,"[[7, 10], [14, 30]]"
764990-99999,SOTO LA MARINA   TAMPS.,MX,23.767,-98.2,61,State 1 = Anomaly,0.5737704918032787,0.7142857142857143,0.6818181818181818,0.6976744186046512,5,12,14,30,"[[5, 12], [14, 30]]"
479300-99999,NAHA,JA,26.196,127.646,61,State 1 = Anomaly,0.5409836065573771,0.6666666666666666,0.7272727272727273,0.6956521739130435,1,16,12,32,"[[1, 16], [12, 32]]"
761600-99999,GENERAL IGNACIO P GARCIA INTL,MX,29.096,-111.048,61,State 1 = Anomaly,0.5573770491803278,0.717948717948718,0.6363636363636364,0.6746987951807228,6,11,16,28,"[[6, 11], [16, 28]]"
722860-23119,MARCH AIR RESERVE BASE,US,33.9,-117.25,61,State 1 = Anomaly,0.6065573770491803,0.8571428571428571,0.5454545454545454,0.6666666666666666,13,4,20,24,"[[13, 4], [20, 24]]"
763820-99999,TORREON INTL,MX,25.568,-103.411,61,State 1 = Anomaly,0.5081967213114754,0.6944444444444444,0.5681818181818182,0.625,6,11,19,25,"[[6, 11], [19, 25]]"
946530-99999,CEDUNA AMO,AS,-32.133,133.7,61,State 1 = Anomaly,0.5245901639344263,0.7272727272727273,0.5454545454545454,0.6233766233766234,8,9,20,24,"[[8, 9], [20, 24]]"
911820-22521,HONOLULU INTERNATIONAL AIRPORT,US,21.324,-157.929,61,State 1 = Anomaly,0.45901639344262296,0.6666666666666666,0.5,0.5714285714285714,6,11,22,22,"[[6, 11], [22, 22]]"
843900-99999,CAPITAN MONTES,PE,-4.577,-81.254,61,State 0 = Anomaly,0.45901639344262296,0.7037037037037037,0.4318181818181818,0.5352112676056338,9,8,25,19,"[[9, 8], [25, 19]]"
847520-99999,RODRIGUEZ BALLON,PE,-16.341,-71.583,61,State 0 = Anomaly,0.45901639344262296,0.7037037037037037,0.4318181818181818,0.5352112676056338,9,8,25,19,"[[9, 8], [25, 19]]"
471420-99999,DAEGU AB,KS,35.894,128.659,61,State 0 = Anomaly,0.45901639344262296,0.8235294117647058,0.3181818181818182,0.45901639344262296,14,3,30,14,"[[14, 3], [30, 14]]"
471100-99999,GIMPO,KS,37.558,126.791,61,State 0 = Anomaly,0.4098360655737705,0.6818181818181818,0.3409090909090909,0.45454545454545453,10,7,29,15,"[[10, 7], [29, 15]]"
471080-99999,SEOUL CITY,KS,37.567,126.967,61,State 0 = Anomaly,0.4098360655737705,0.8333333333333334,0.22727272727272727,0.35714285714285715,15,2,34,10,"[[15, 2], [34, 10]]"
724050-13743,RONALD REAGAN WASHINGTON NATL AP,US,38.847,-77.035,61,State 0 = Anomaly,0.3114754098360656,0.5555555555555556,0.22727272727272727,0.3225806451612903,9,8,34,10,"[[9, 8], [34, 10]]"
722265-13821,MAXWELL AFB AIRPORT,US,32.383,-86.35,61,State 0 = Anomaly,0.3114754098360656,0.5555555555555556,0.22727272727272727,0.3225806451612903,9,8,34,10,"[[9, 8], [34, 10]]"
478080-99999,FUKUOKA,JA,33.586,130.451,61,State 0 = Anomaly,0.32786885245901637,0.6,0.20454545454545456,0.3050847457627119,11,6,35,9,"[[11, 6], [35, 9]]"
943740-99999,ROCKHAMPTON,AS,-23.382,150.475,61,State 0 = Anomaly,0.29508196721311475,0.6,0.06818181818181818,0.12244897959183673,15,2,41,3,"[[15, 2], [41, 3]]"
