USAF,WBAN,Name,Country,State,ICAO,LAT,LON,Elev(m),BEGIN,END,Years
942030,99999,BROOME INTL,AS,,YBRM,-17.945,122.232,17.1,19390810,20190415,81
943350,99999,CLONCURRY AIRPORT,AS,,,-20.667,140.5,187.0,19390401,20190415,81
943740,99999,ROCKHAMPTON,AS,,YBRK,-23.382,150.475,10.4,19390331,20190415,81
944760,99999,OODNADATTA AIRPORT,AS,,,-27.55,135.45,117.0,19390304,20190415,81
474250,99999,NEW CHITOSE,JA,,RJCC,42.775,141.692,25.0,19451031,20190415,75
477590,99999,KYOTO,JA,,,35.017,135.733,46.5,19451031,20190415,75
477710,99999,OSAKA INTL,JA,,RJOO,34.786,135.438,15.2,19451101,20190415,75
478030,99999,ASHIYA,JA,,RJFA,33.883,130.653,29.9,19451231,20190415,75
471100,99999,GIMPO,KS,,RKSS,37.558,126.791,17.7,19450930,20190415,75
471080,99999,SEOUL CITY,KS,,RKSL,37.567,126.967,87.0,19501204,20190415,70
471420,99999,DAEGU AB,KS,,RKTN,35.894,128.659,35.4,19501101,20190415,70
471510,99999,ULSAN AIRPORT,KS,,,35.583,129.35,13.0,19500716,20070227,58
760500,99999,ENSENADA BC,MX,,,31.667,-116.567,10.0,19490601,20190119,71
760610,99999,PUERTO PENASCO  SON.,MX,,,31.3,-113.55,62.0,19490201,20190415,71
761130,99999,ALTAR  SON.,MX,,,30.717,-111.833,398.0,19490201,20190415,71
761220,99999,NUEVA CASAS GRANDES   CHIH.,MX,,,30.367,-107.95,1487.0,19490301,20190415,71
843900,99999,CAPITAN MONTES,PE,,SPYL,-4.577,-81.254,86.0,19330209,20190415,87
844520,99999,CAPT JOSE A  QUINONES GONZALES INTL,PE,,SPHI,-6.787,-79.828,29.6,19330102,20190415,87
846910,99999,PISCO INTL,PE,,SPSO,-13.745,-76.22,11.9,19350415,20190415,85
847520,99999,RODRIGUEZ BALLON,PE,,SPQU,-16.341,-71.583,2561.8,19420101,20190415,78
726810,24131,BOISE AIR TERMINAL/GOWEN FD AIRPORT,US,ID,KBOI,43.567,-116.241,857.7,19310101,20190416,89
726815,24106,MOUNTAIN HOME AFB AIRPORT,US,ID,KMUO,43.05,-115.867,913.2,19320101,20190327,88
722860,23119,MARCH AIR RESERVE BASE,US,CA,KRIV,33.9,-117.25,468.2,19330101,20190416,87
722265,13821,MAXWELL AFB AIRPORT,US,AL,KMXF,32.383,-86.35,52.1,19351001,20190416,85
