year,enso_type,is_el_nino,is_la_nina,enso_anomaly
1950,La_Nina,0,1,1
1951,El_Nino,1,0,1
1952,Normal,0,0,0
1953,El_Nino,1,0,1
1954,La_Nina,0,1,1
1955,La_Nina,0,1,1
1956,La_Nina,0,1,1
1957,El_Nino,1,0,1
1958,El_Nino,1,0,1
1959,Normal,0,0,0
1960,Normal,0,0,0
1961,Normal,0,0,0
1962,Normal,0,0,0
1963,El_Nino,1,0,1
1964,La_Nina,0,1,1
1965,El_Nino,1,0,1
1966,Normal,0,0,0
1967,Normal,0,0,0
1968,Normal,0,0,0
1969,El_Nino,1,0,1
1970,La_Nina,0,1,1
1971,La_Nina,0,1,1
1972,El_Nino,1,0,1
1973,La_Nina,0,1,1
1974,La_Nina,0,1,1
1975,La_Nina,0,1,1
1976,El_Nino,1,0,1
1977,El_Nino,1,0,1
1978,Normal,0,0,0
1979,Normal,0,0,0
1980,Normal,0,0,0
1981,Normal,0,0,0
1982,El_Nino,1,0,1
1983,La_Nina,0,1,1
1984,La_Nina,0,1,1
1985,La_Nina,0,1,1
1986,El_Nino,1,0,1
1987,El_Nino,1,0,1
1988,La_Nina,0,1,1
1989,La_Nina,0,1,1
1990,Normal,0,0,0

