site_id,segment_id,start_idx,end_idx,start_date,end_date,length
471100-99999,0,0,14,1945-01-01,1959-01-01,15
471100-99999,1,15,19,1960-01-01,1964-01-01,5
471100-99999,2,20,24,1965-01-01,1969-01-01,5
471100-99999,3,25,29,1970-01-01,1974-01-01,5
471100-99999,4,30,34,1975-01-01,1979-01-01,5
471100-99999,5,35,44,1980-01-01,1989-01-01,10
471100-99999,6,45,69,1990-01-01,2014-01-01,25
471100-99999,7,70,74,2015-01-01,2019-01-01,5
471420-99999,0,0,14,1950-01-01,1964-01-01,15
471420-99999,1,15,19,1965-01-01,1969-01-01,5
471420-99999,2,20,39,1970-01-01,1991-01-01,20
471420-99999,3,40,44,1993-01-01,1997-01-01,5
471420-99999,4,45,49,1998-01-01,2002-01-01,5
471420-99999,5,50,59,2003-01-01,2012-01-01,10
471420-99999,6,60,64,2013-01-01,2017-01-01,5
471420-99999,7,65,66,2018-01-01,2019-01-01,2
474250-99999,0,0,4,1945-01-01,1951-01-01,5
474250-99999,1,5,9,1952-01-01,1956-01-01,5
474250-99999,2,10,14,1957-01-01,1975-01-01,5
474250-99999,3,15,24,1976-01-01,1985-01-01,10
474250-99999,4,25,29,1986-01-01,1990-01-01,5
474250-99999,5,30,44,1991-01-01,2005-01-01,15
474250-99999,6,45,58,2006-01-01,2019-01-01,14
761220-99999,0,0,4,1949-01-01,1979-01-01,5
761220-99999,1,5,9,1980-01-01,1985-01-01,5
761220-99999,2,10,19,1987-01-01,1996-01-01,10
761220-99999,3,20,24,1997-01-01,2001-01-01,5
761220-99999,4,25,34,2002-01-01,2011-01-01,10
761220-99999,5,35,39,2012-01-01,2016-01-01,5
761220-99999,6,40,42,2017-01-01,2019-01-01,3
843900-99999,0,0,4,1942-01-01,1946-01-01,5
843900-99999,1,5,14,1947-01-01,1981-01-01,10
843900-99999,2,15,19,1982-01-01,1986-01-01,5
843900-99999,3,20,24,1987-01-01,1991-01-01,5
843900-99999,4,25,29,1992-01-01,1996-01-01,5
843900-99999,5,30,34,1997-01-01,2001-01-01,5
843900-99999,6,35,51,2002-01-01,2019-01-01,17
844520-99999,0,0,9,1963-01-01,1975-01-01,10
844520-99999,1,10,14,1976-01-01,1980-01-01,5
844520-99999,2,15,24,1981-01-01,1990-01-01,10
844520-99999,3,25,29,1991-01-01,1995-01-01,5
844520-99999,4,30,34,1996-01-01,2000-01-01,5
844520-99999,5,35,49,2001-01-01,2015-01-01,15
844520-99999,6,50,53,2016-01-01,2019-01-01,4
847520-99999,0,0,4,1946-01-01,1964-01-01,5
847520-99999,1,5,9,1965-01-01,1969-01-01,5
847520-99999,2,10,14,1973-01-01,1977-01-01,5
847520-99999,3,15,19,1978-01-01,1982-01-01,5
847520-99999,4,20,29,1983-01-01,1992-01-01,10
847520-99999,5,30,34,1993-01-01,1997-01-01,5
847520-99999,6,35,39,1998-01-01,2002-01-01,5
847520-99999,7,40,44,2003-01-01,2007-01-01,5
847520-99999,8,45,49,2008-01-01,2012-01-01,5
847520-99999,9,50,55,2013-01-01,2019-01-01,6
943350-99999,0,0,4,1939-01-01,1943-01-01,5
943350-99999,1,5,9,1944-01-01,1948-01-01,5
943350-99999,2,10,19,1949-01-01,1958-01-01,10
943350-99999,3,20,34,1959-01-01,1973-01-01,15
943350-99999,4,35,39,1974-01-01,1999-01-01,5
943350-99999,5,40,49,2000-01-01,2009-01-01,10
943350-99999,6,50,54,2010-01-01,2014-01-01,5
943350-99999,7,55,59,2015-01-01,2019-01-01,5
943740-99999,0,0,4,1939-01-01,1943-01-01,5
943740-99999,1,5,9,1944-01-01,1948-01-01,5
943740-99999,2,10,14,1949-01-01,1953-01-01,5
943740-99999,3,15,19,1954-01-01,1958-01-01,5
943740-99999,4,20,29,1959-01-01,1968-01-01,10
943740-99999,5,30,34,1969-01-01,1973-01-01,5
943740-99999,6,35,39,1974-01-01,1978-01-01,5
943740-99999,7,40,44,1979-01-01,1983-01-01,5
943740-99999,8,45,49,1984-01-01,1988-01-01,5
943740-99999,9,50,54,1990-01-01,1994-01-01,5
943740-99999,10,55,59,1995-01-01,1999-01-01,5
943740-99999,11,60,69,2000-01-01,2009-01-01,10
943740-99999,12,70,74,2010-01-01,2014-01-01,5
943740-99999,13,75,79,2015-01-01,2019-01-01,5
944760-99999,0,0,4,1939-01-01,1944-01-01,5
944760-99999,1,5,14,1945-01-01,1954-01-01,10
944760-99999,2,15,19,1955-01-01,1959-01-01,5
944760-99999,3,20,29,1960-01-01,1969-01-01,10
944760-99999,4,30,34,1970-01-01,1974-01-01,5
944760-99999,5,35,39,1975-01-01,1979-01-01,5
944760-99999,6,40,44,1980-01-01,1984-01-01,5
944760-99999,7,45,68,1985-01-01,2019-01-01,24
