site_id,segment_id,start_idx,end_idx,start_date,end_date,length,dist,state
471080-99999,0,0,44,1950-01-01,1996-01-01,45,0.6603078898421233,0
471080-99999,1,45,67,1997-01-01,2019-01-01,23,1.2919067409956662,0
471100-99999,0,0,29,1945-01-01,1974-01-01,30,3.3982750586787893,1
471100-99999,1,30,74,1975-01-01,2019-01-01,45,2.2655167057849668,0
471420-99999,0,0,39,1950-01-01,1991-01-01,40,0.9161903599590181,0
471420-99999,1,40,66,1993-01-01,2019-01-01,27,1.3573190517911613,0
474250-99999,0,0,29,1945-01-01,1990-01-01,30,1.097926669763818,0
474250-99999,1,30,58,1991-01-01,2019-01-01,29,1.135786210100891,0
477590-99999,0,0,29,1945-01-01,1989-01-01,30,1.0754442804496191,0
477590-99999,1,30,58,1990-01-01,2019-01-01,29,1.1125285659822894,0
477710-99999,0,0,34,1945-01-01,1989-01-01,35,1.6725248658096314,0
477710-99999,1,35,64,1990-01-01,2019-01-01,30,1.9512790101112496,0
478030-99999,0,0,67,1945-01-01,2019-01-01,68,0.0,0
722265-13821,0,0,79,1935-01-01,2019-01-01,80,0.0,0
722860-23119,0,0,54,1933-01-01,1987-01-01,55,0.8447917698613585,0
722860-23119,1,55,69,1988-01-01,2007-01-01,15,2.7178238237919916,0
722860-23119,2,70,81,2008-01-01,2019-01-01,12,3.509346859165709,1
726810-24131,0,0,9,1931-01-01,1940-01-01,10,10.60350976864157,1
726810-24131,1,10,34,1941-01-01,1993-01-01,25,2.7021177622278607,0
726810-24131,2,35,59,1994-01-01,2019-01-01,25,3.3477510031683435,1
726815-24106,0,0,69,1932-01-01,2019-01-01,70,0.0,0
760500-99999,0,0,12,1949-01-01,1981-01-01,13,0.0,0
760610-99999,0,0,39,1949-01-01,2019-01-01,40,0.0,0
761130-99999,0,0,29,1949-01-01,2005-01-01,30,1.9374552634179718,0
761130-99999,1,30,40,2009-01-01,2019-01-01,11,5.283968900230698,1
761220-99999,0,0,34,1949-01-01,2011-01-01,35,1.1701444918191657,0
761220-99999,1,35,42,2012-01-01,2019-01-01,8,5.1193821517095515,1
843900-99999,0,0,24,1942-01-01,1991-01-01,25,3.7893601573704756,1
843900-99999,1,25,34,1992-01-01,2001-01-01,10,4.689955439900565,1
843900-99999,2,35,51,2002-01-01,2019-01-01,17,5.373675287787605,1
844520-99999,0,0,53,1963-01-01,2019-01-01,54,0.0,0
846910-99999,0,0,9,1963-01-01,1975-01-01,10,3.638861296248645,1
846910-99999,1,10,53,1976-01-01,2019-01-01,44,0.8270139309656177,0
847520-99999,0,0,39,1946-01-01,2002-01-01,40,0.7818790926312784,0
847520-99999,1,40,55,2003-01-01,2019-01-01,16,1.9546977315781602,0
942030-99999,0,0,34,1939-01-01,1974-01-01,35,2.605535296995052,0
942030-99999,1,35,54,1975-01-01,1994-01-01,20,2.030554395183207,0
942030-99999,2,55,79,1995-01-01,2019-01-01,25,2.997457134537805,0
943350-99999,0,0,19,1939-01-01,1958-01-01,20,2.2086319512261636,0
943350-99999,1,20,34,1959-01-01,1973-01-01,15,3.398124389802594,1
943350-99999,2,35,59,1974-01-01,2019-01-01,25,1.8453817221178106,0
943740-99999,0,0,19,1939-01-01,1958-01-01,20,2.8593830605715307,0
943740-99999,1,20,54,1959-01-01,1994-01-01,35,1.4197423922007437,0
943740-99999,2,55,79,1995-01-01,2019-01-01,25,2.287471887979578,0
944760-99999,0,0,34,1939-01-01,1974-01-01,35,2.0989594547337287,0
944760-99999,1,35,44,1975-01-01,1984-01-01,10,4.237680090883455,1
944760-99999,2,45,68,1985-01-01,2019-01-01,24,3.338026633294081,0
