site_id,segment_id,start_idx,end_idx,start_date,end_date,length,dist,state
471100-99999,0,0,29,1945-01-01,1974-01-01,30,3.3982750586787893,1
471100-99999,1,30,74,1975-01-01,2019-01-01,45,2.2655167057849668,0
471420-99999,0,0,39,1950-01-01,1991-01-01,40,0.9161903599590181,0
471420-99999,1,40,66,1993-01-01,2019-01-01,27,1.3573190517911613,0
474250-99999,0,0,4,1945-01-01,1951-01-01,5,3.018572544529242,0
474250-99999,1,5,9,1952-01-01,1956-01-01,5,2.7618213498873265,0
474250-99999,2,10,29,1957-01-01,1990-01-01,20,1.5537710485422709,0
474250-99999,3,30,58,1991-01-01,2019-01-01,29,1.135786210100891,0
761220-99999,0,0,34,1949-01-01,2011-01-01,35,1.1701444918191657,0
761220-99999,1,35,42,2012-01-01,2019-01-01,8,5.1193821517095515,1
843900-99999,0,0,24,1942-01-01,1991-01-01,25,3.7893601573704756,1
843900-99999,1,25,34,1992-01-01,2001-01-01,10,4.689955439900565,1
843900-99999,2,35,51,2002-01-01,2019-01-01,17,5.373675287787605,1
844520-99999,0,0,9,1963-01-01,1975-01-01,10,3.5984764359363277,1
844520-99999,1,10,34,1976-01-01,2000-01-01,25,0.9997566986824175,0
844520-99999,2,35,53,2001-01-01,2019-01-01,19,1.6984020621170552,0
847520-99999,0,0,14,1946-01-01,1977-01-01,15,1.9698065574337498,0
847520-99999,1,15,39,1978-01-01,2002-01-01,25,1.2237306995536026,0
847520-99999,2,40,55,2003-01-01,2019-01-01,16,1.9546977315781602,0
943350-99999,0,0,19,1939-01-01,1958-01-01,20,2.2086319512261636,0
943350-99999,1,20,34,1959-01-01,1973-01-01,15,3.398124389802594,0
943350-99999,2,35,59,1974-01-01,2019-01-01,25,1.8453817221178106,0
943740-99999,0,0,19,1939-01-01,1958-01-01,20,2.8593830605715307,0
943740-99999,1,20,54,1959-01-01,1994-01-01,35,1.4197423922007437,0
943740-99999,2,55,79,1995-01-01,2019-01-01,25,2.287471887979578,0
944760-99999,0,0,34,1939-01-01,1974-01-01,35,2.0989594547337287,0
944760-99999,1,35,44,1975-01-01,1984-01-01,10,4.237680090883455,1
944760-99999,2,45,68,1985-01-01,2019-01-01,24,3.338026633294081,0
