site_id,segment_id,year,state
471080-99999,0,1950,1
471080-99999,0,1951,1
471080-99999,0,1952,1
471080-99999,0,1953,1
471080-99999,0,1954,1
471080-99999,1,1955,0
471080-99999,1,1956,0
471080-99999,1,1957,0
471080-99999,1,1958,0
471080-99999,1,1959,0
471080-99999,2,1960,0
471080-99999,2,1961,0
471080-99999,2,1962,0
471080-99999,2,1963,0
471080-99999,2,1964,0
471080-99999,3,1965,0
471080-99999,3,1966,0
471080-99999,3,1967,0
471080-99999,3,1968,0
471080-99999,3,1969,0
471080-99999,4,1970,0
471080-99999,4,1971,0
471080-99999,4,1972,0
471080-99999,4,1973,0
471080-99999,4,1974,0
471080-99999,5,1975,0
471080-99999,5,1976,0
471080-99999,5,1977,0
471080-99999,5,1978,0
471080-99999,5,1979,0
471080-99999,6,1980,0
471080-99999,6,1981,0
471080-99999,6,1982,0
471080-99999,6,1983,0
471080-99999,6,1984,0
471080-99999,7,1985,0
471080-99999,7,1986,0
471080-99999,7,1987,0
471080-99999,7,1988,0
471080-99999,7,1989,0
471080-99999,8,1990,0
471080-99999,8,1991,0
471080-99999,8,1992,0
471080-99999,8,1993,0
471080-99999,8,1994,0
471080-99999,9,1995,0
471080-99999,9,1996,0
471080-99999,9,1997,0
471080-99999,9,1998,0
471080-99999,9,1999,0
471080-99999,9,2000,0
471100-99999,0,1950,0
471100-99999,0,1951,0
471100-99999,0,1952,0
471100-99999,0,1953,0
471100-99999,0,1954,0
471100-99999,1,1955,0
471100-99999,1,1956,0
471100-99999,1,1957,0
471100-99999,1,1958,0
471100-99999,1,1959,0
471100-99999,2,1960,0
471100-99999,2,1961,0
471100-99999,2,1962,0
471100-99999,2,1963,0
471100-99999,2,1964,0
471100-99999,3,1965,1
471100-99999,3,1966,1
471100-99999,3,1967,1
471100-99999,3,1968,1
471100-99999,3,1969,1
471100-99999,4,1970,0
471100-99999,4,1971,0
471100-99999,4,1972,0
471100-99999,4,1973,0
471100-99999,4,1974,0
471100-99999,5,1975,0
471100-99999,5,1976,0
471100-99999,5,1977,0
471100-99999,5,1978,0
471100-99999,5,1979,0
471100-99999,6,1980,0
471100-99999,6,1981,0
471100-99999,6,1982,0
