site_id,segment_id,year,state
471100-99999,0,1945,0
471100-99999,0,1946,0
471100-99999,0,1947,0
471100-99999,0,1948,0
471100-99999,0,1949,0
471100-99999,0,1950,0
471100-99999,0,1951,0
471100-99999,0,1952,0
471100-99999,0,1953,0
471100-99999,0,1954,0
471100-99999,0,1955,0
471100-99999,0,1956,0
471100-99999,0,1957,0
471100-99999,0,1958,0
471100-99999,0,1959,0
471100-99999,1,1960,0
471100-99999,1,1961,0
471100-99999,1,1962,0
471100-99999,1,1963,0
471100-99999,1,1964,0
471100-99999,2,1965,1
471100-99999,2,1966,1
471100-99999,2,1967,1
471100-99999,2,1968,1
471100-99999,2,1969,1
471100-99999,3,1970,0
471100-99999,3,1971,0
471100-99999,3,1972,0
471100-99999,3,1973,0
471100-99999,3,1974,0
471100-99999,4,1975,0
471100-99999,4,1976,0
471100-99999,4,1977,0
471100-99999,4,1978,0
471100-99999,4,1979,0
471100-99999,5,1980,0
471100-99999,5,1981,0
471100-99999,5,1982,0
471100-99999,5,1983,0
471100-99999,5,1984,0
471100-99999,5,1985,0
471100-99999,5,1986,0
471100-99999,5,1987,0
471100-99999,5,1988,0
471100-99999,5,1989,0
471100-99999,6,1990,0
471100-99999,6,1991,0
471100-99999,6,1992,0
471100-99999,6,1993,0
471100-99999,6,1994,0
471100-99999,6,1995,0
471100-99999,6,1996,0
471100-99999,6,1997,0
471100-99999,6,1998,0
471100-99999,6,1999,0
471100-99999,6,2000,0
471100-99999,6,2001,0
471100-99999,6,2002,0
471100-99999,6,2003,0
471100-99999,6,2004,0
471100-99999,6,2005,0
471100-99999,6,2006,0
471100-99999,6,2007,0
471100-99999,6,2008,0
471100-99999,6,2009,0
471100-99999,6,2010,0
471100-99999,6,2011,0
471100-99999,6,2012,0
471100-99999,6,2013,0
471100-99999,6,2014,0
471100-99999,7,2015,0
471100-99999,7,2016,0
471100-99999,7,2017,0
471100-99999,7,2018,0
471100-99999,7,2019,0
471420-99999,0,1950,0
471420-99999,0,1951,0
471420-99999,0,1952,0
471420-99999,0,1953,0
471420-99999,0,1954,0
471420-99999,0,1955,0
471420-99999,0,1956,0
471420-99999,0,1957,0
471420-99999,0,1958,0
471420-99999,0,1959,0
471420-99999,0,1960,0
471420-99999,0,1961,0
471420-99999,0,1962,0
471420-99999,0,1963,0
471420-99999,0,1964,0
471420-99999,1,1965,0
471420-99999,1,1966,0
471420-99999,1,1967,0
